191(0x0bf): 0380(0x017c)
192(0x0c0): 0340(0x0154)
193(0x0c1): 0193(0x00c1)
194(0x0c2): 0194(0x00c2)
195(0x0c3): 0258(0x0102)
196(0x0c4): 0196(0x00c4)
197(0x0c5): 0313(0x0139)
198(0x0c6): 0262(0x0106)
199(0x0c7): 0199(0x00c7)
200(0x0c8): 0268(0x010c)
201(0x0c9): 0201(0x00c9)
202(0x0ca): 0280(0x0118)
203(0x0cb): 0203(0x00cb)
204(0x0cc): 0282(0x011a)
205(0x0cd): 0205(0x00cd)
206(0x0ce): 0206(0x00ce)
207(0x0cf): 0270(0x010e)
208(0x0d0): 0272(0x0110)
209(0x0d1): 0323(0x0143)
210(0x0d2): 0327(0x0147)
211(0x0d3): 0211(0x00d3)
212(0x0d4): 0212(0x00d4)
213(0x0d5): 0336(0x0150)
214(0x0d6): 0214(0x00d6)
215(0x0d7): 0215(0x00d7)
216(0x0d8): 0344(0x0158)
217(0x0d9): 0366(0x016e)
218(0x0da): 0218(0x00da)
219(0x0db): 0368(0x0170)
220(0x0dc): 0220(0x00dc)
221(0x0dd): 0221(0x00dd)
222(0x0de): 0354(0x0162)
223(0x0df): 0223(0x00df)
224(0x0e0): 0341(0x0155)
225(0x0e1): 0225(0x00e1)
226(0x0e2): 0226(0x00e2)
227(0x0e3): 0259(0x0103)
228(0x0e4): 0228(0x00e4)
229(0x0e5): 0314(0x013a)
230(0x0e6): 0263(0x0107)
231(0x0e7): 0231(0x00e7)
232(0x0e8): 0269(0x010d)
233(0x0e9): 0233(0x00e9)
234(0x0ea): 0281(0x0119)
235(0x0eb): 0235(0x00eb)
236(0x0ec): 0283(0x011b)
237(0x0ed): 0237(0x00ed)
238(0x0ee): 0238(0x00ee)
239(0x0ef): 0271(0x010f)
240(0x0f0): 0273(0x0111)
241(0x0f1): 0324(0x0144)
242(0x0f2): 0328(0x0148)
243(0x0f3): 0243(0x00f3)
244(0x0f4): 0244(0x00f4)
245(0x0f5): 0337(0x0151)
246(0x0f6): 0246(0x00f6)
247(0x0f7): 0247(0x00f7)
248(0x0f8): 0345(0x0159)
249(0x0f9): 0367(0x016f)
250(0x0fa): 0250(0x00fa)
251(0x0fb): 0369(0x0171)
252(0x0fc): 0252(0x00fc)
253(0x0fd): 0253(0x00fd)
254(0x0fe): 0355(0x0163)
255(0x0ff): 0729(0x02d9)
